"sciname","nutrient","sex","age","median_ear","median_ear_perc"
"Ammodytes personatus","Copper","Children","5-9",0.235294117647059,23.5294117647059
"Ammodytes personatus","Magnesium","Children","5-9",0.354545454545455,35.4545454545455
"Ammodytes personatus","Phosphorus","Children","5-9",1.30864197530864,130.864197530864
"Ammodytes personatus","Riboflavin","Children","5-9",1620,162000
"Ammodytes personatus","Vitamin C","Children","5-9",0.0454545454545455,4.54545454545455
"Ammodytes personatus","Zinc","Children","5-9",0.975,97.5
"Amphioctopus fangsiao","Calcium","Children","5-9",0.025,2.5
"Amphioctopus fangsiao","Copper","Children","5-9",8.70588235294118,870.588235294118
"Amphioctopus fangsiao","Magnesium","Children","5-9",0.390909090909091,39.0909090909091
"Amphioctopus fangsiao","Phosphorus","Children","5-9",0.469135802469136,46.9135802469136
"Amphioctopus fangsiao","Riboflavin","Children","5-9",160,16000
"Amphioctopus fangsiao","Vitamin C","Children","5-9",0.0454545454545455,4.54545454545455
"Amphioctopus fangsiao","Zinc","Children","5-9",0.775,77.5
"Anabas testudineus","Calcium","Children","5-9",0.10625,10.625
"Anabas testudineus","Copper","Children","5-9",0.117647058823529,11.7647058823529
"Anabas testudineus","Magnesium","Children","5-9",0.481818181818182,48.1818181818182
"Anabas testudineus","Phosphorus","Children","5-9",0.397530864197531,39.7530864197531
"Anabas testudineus","Riboflavin","Children","5-9",360,36000
"Anabas testudineus","Thiamin","Children","5-9",0.06,6
"Anabas testudineus","Zinc","Children","5-9",0.2825,28.25
"Anadara broughtonii","Calcium","Children","5-9",0.05,5
"Anadara broughtonii","Copper","Children","5-9",0.176470588235294,17.6470588235294
"Anadara broughtonii","Magnesium","Children","5-9",0.5,50
"Anadara broughtonii","Phosphorus","Children","5-9",0.345679012345679,34.5679012345679
"Anadara broughtonii","Riboflavin","Children","5-9",400,40000
"Anadara broughtonii","Vitamin C","Children","5-9",0.0909090909090909,9.09090909090909
"Anadara broughtonii","Zinc","Children","5-9",0.375,37.5
"Anarhichas lupus","Calcium","Children","5-9",0.008,0.8
"Anarhichas lupus","Copper","Children","5-9",0.0647058823529412,6.47058823529412
"Anarhichas lupus","Magnesium","Children","5-9",0.222727272727273,22.2727272727273
"Anarhichas lupus","Phosphorus","Children","5-9",0.503703703703704,50.3703703703704
"Anarhichas lupus","Thiamin","Children","5-9",0.36,36
"Anarhichas lupus","Zinc","Children","5-9",0.195,19.5
"Anguilla anguilla","Calcium","Children","5-9",0.018,1.8
"Anguilla anguilla","Copper","Children","5-9",0.258823529411765,25.8823529411765
"Anguilla anguilla","Magnesium","Children","5-9",0.0613636363636364,6.13636363636364
"Anguilla anguilla","Zinc","Children","5-9",0.15625,15.625
"Anguilla japonica","Calcium","Children","5-9",0.05375,5.375
"Anguilla japonica","Copper","Children","5-9",0.117647058823529,11.7647058823529
"Anguilla japonica","Magnesium","Children","5-9",0.136363636363636,13.6363636363636
"Anguilla japonica","Phosphorus","Children","5-9",0.641975308641975,64.1975308641975
"Anguilla japonica","Riboflavin","Children","5-9",530,53000
"Anguilla japonica","Thiamin","Children","5-9",0.27,27
"Anguilla japonica","Vitamin C","Children","5-9",0.0909090909090909,9.09090909090909
"Anguilla japonica","Zinc","Children","5-9",0.65,65
"Anguilla reinhardtii, anguilla australis","Calcium","Children","5-9",0.025,2.5
"Anguilla reinhardtii, anguilla australis","Magnesium","Children","5-9",0.181818181818182,18.1818181818182
"Anguilla reinhardtii, anguilla australis","Phosphorus","Children","5-9",0.533333333333333,53.3333333333333
"Anguilla reinhardtii, anguilla australis","Riboflavin","Children","5-9",80,8000
"Anguilla reinhardtii, anguilla australis","Vitamin C","Children","5-9",0.0909090909090909,9.09090909090909
"Anguilla reinhardtii, anguilla australis","Zinc","Children","5-9",0.405,40.5
"Anguilla rostrata","Calcium","Children","5-9",0.025,2.5
"Anguilla rostrata","Copper","Children","5-9",0.0676470588235294,6.76470588235294
"Anguilla rostrata","Magnesium","Children","5-9",0.181818181818182,18.1818181818182
"Anguilla rostrata","Phosphorus","Children","5-9",0.571604938271605,57.1604938271605
"Anguilla rostrata","Riboflavin","Children","5-9",800,80000
"Anguilla rostrata","Thiamin","Children","5-9",0.3,30
"Anguilla rostrata","Zinc","Children","5-9",0.3275,32.75
"Anoplopoma fimbria","Calcium","Children","5-9",0.04375,4.375
"Anoplopoma fimbria","Copper","Children","5-9",0.0647058823529412,6.47058823529412
"Anoplopoma fimbria","Magnesium","Children","5-9",0.5,50
"Anoplopoma fimbria","Phosphorus","Children","5-9",0.414814814814815,41.4814814814815
"Anoplopoma fimbria","Riboflavin","Children","5-9",180,18000
"Anoplopoma fimbria","Thiamin","Children","5-9",0.2,20
"Anoplopoma fimbria","Vitamin C","Children","5-9",0,0
"Anoplopoma fimbria","Zinc","Children","5-9",0.0775,7.75
"Aphanopus carbo","Calcium","Children","5-9",0.0175,1.75
"Aphanopus carbo","Copper","Children","5-9",0.176470588235294,17.6470588235294
"Aphanopus carbo","Magnesium","Children","5-9",0.263636363636364,26.3636363636364
"Aphanopus carbo","Phosphorus","Children","5-9",0.446913580246914,44.6913580246914
"Aphanopus carbo","Zinc","Children","5-9",0.125,12.5
"Aplodinotus grunniens","Calcium","Children","5-9",0.075,7.5
"Aplodinotus grunniens","Copper","Children","5-9",0.682352941176471,68.2352941176471
"Aplodinotus grunniens","Magnesium","Children","5-9",0.272727272727273,27.2727272727273
"Aplodinotus grunniens","Phosphorus","Children","5-9",0.444444444444444,44.4444444444444
"Aplodinotus grunniens","Riboflavin","Children","5-9",340,34000
"Aplodinotus grunniens","Thiamin","Children","5-9",0.14,14
"Aplodinotus grunniens","Zinc","Children","5-9",0.165,16.5
"Apostichopus japonicus","Calcium","Children","5-9",0.09,9
"Apostichopus japonicus","Copper","Children","5-9",0.117647058823529,11.7647058823529
"Apostichopus japonicus","Magnesium","Children","5-9",1.45454545454545,145.454545454545
"Apostichopus japonicus","Phosphorus","Children","5-9",0.0617283950617284,6.17283950617284
"Apostichopus japonicus","Riboflavin","Children","5-9",40,4000
"Apostichopus japonicus","Vitamin C","Children","5-9",0,0
"Apostichopus japonicus","Zinc","Children","5-9",0.05,5
"Archosargus probatocephalus","Calcium","Children","5-9",0.02625,2.625
"Archosargus probatocephalus","Copper","Children","5-9",0.0911764705882353,9.11764705882353
"Archosargus probatocephalus","Magnesium","Children","5-9",0.290909090909091,29.0909090909091
"Archosargus probatocephalus","Phosphorus","Children","5-9",0.772839506172839,77.2839506172839
"Archosargus probatocephalus","Thiamin","Children","5-9",0.02,2
"Archosargus probatocephalus","Zinc","Children","5-9",0.0975,9.75
"Arctica islandica","Calcium","Children","5-9",0.078625,7.8625
"Arctica islandica","Copper","Children","5-9",0.558823529411765,55.8823529411765
"Arctica islandica","Magnesium","Children","5-9",0.663636363636364,66.3636363636364
"Arctica islandica","Phosphorus","Children","5-9",0.291358024691358,29.1358024691358
"Arctica islandica","Zinc","Children","5-9",0.21,21
"Arctoscopus japonicus","Calcium","Children","5-9",0.075,7.5
"Arctoscopus japonicus","Copper","Children","5-9",0.176470588235294,17.6470588235294
"Arctoscopus japonicus","Magnesium","Children","5-9",0.163636363636364,16.3636363636364
"Arctoscopus japonicus","Phosphorus","Children","5-9",0.296296296296296,29.6296296296296
"Arctoscopus japonicus","Riboflavin","Children","5-9",280,28000
"Arctoscopus japonicus","Vitamin C","Children","5-9",0,0
"Arctoscopus japonicus","Zinc","Children","5-9",0.15,15
"Argyrosomus hololepidotus","Calcium","Children","5-9",0.0325,3.25
"Argyrosomus hololepidotus","Copper","Children","5-9",0,0
"Argyrosomus hololepidotus","Magnesium","Children","5-9",0.227272727272727,22.7272727272727
"Argyrosomus hololepidotus","Phosphorus","Children","5-9",0.506172839506173,50.6172839506173
"Argyrosomus hololepidotus","Riboflavin","Children","5-9",240,24000
"Argyrosomus hololepidotus","Vitamin C","Children","5-9",0.0454545454545455,4.54545454545455
"Argyrosomus hololepidotus","Zinc","Children","5-9",0.1,10
"Argyrosomus regius","Calcium","Children","5-9",0.014,1.4
"Argyrosomus regius","Copper","Children","5-9",5.58823529411765,558.823529411765
"Argyrosomus regius","Magnesium","Children","5-9",0.258181818181818,25.8181818181818
"Argyrosomus regius","Zinc","Children","5-9",0.133,13.3
"Aristeus antennatus","Calcium","Children","5-9",0.15125,15.125
"Aristeus antennatus","Copper","Children","5-9",3.52941176470588,352.941176470588
"Aristeus antennatus","Magnesium","Children","5-9",0.354545454545455,35.4545454545455
"Aristeus antennatus","Zinc","Children","5-9",0.825,82.5
"Astacus, orconectes,, procambarus spp.","Calcium","Children","5-9",0.0325,3.25
"Astacus, orconectes,, procambarus spp.","Copper","Children","5-9",0.964705882352941,96.4705882352941
"Astacus, orconectes,, procambarus spp.","Magnesium","Children","5-9",0.272727272727273,27.2727272727273
"Astacus, orconectes,, procambarus spp.","Phosphorus","Children","5-9",0.585185185185185,58.5185185185185
"Astacus, orconectes,, procambarus spp.","Thiamin","Children","5-9",0.115,11.5
"Astacus, orconectes,, procambarus spp.","Zinc","Children","5-9",0.28875,28.875
"Atherina boyeri","Copper","Children","5-9",0.144117647058824,14.4117647058824
"Atrina pectinata","Calcium","Children","5-9",0.02,2
"Atrina pectinata","Copper","Children","5-9",0.0294117647058824,2.94117647058824
"Atrina pectinata","Magnesium","Children","5-9",0.327272727272727,32.7272727272727
"Atrina pectinata","Phosphorus","Children","5-9",0.37037037037037,37.037037037037
"Atrina pectinata","Riboflavin","Children","5-9",180,18000
"Atrina pectinata","Vitamin C","Children","5-9",0.0909090909090909,9.09090909090909
"Atrina pectinata","Zinc","Children","5-9",1.075,107.5
"Auxis thazard, auxis rochei","Calcium","Children","5-9",0.02875,2.875
"Auxis thazard, auxis rochei","Copper","Children","5-9",0.441176470588235,44.1176470588235
"Auxis thazard, auxis rochei","Magnesium","Children","5-9",0.3,30
"Auxis thazard, auxis rochei","Phosphorus","Children","5-9",0.567901234567901,56.7901234567901
"Auxis thazard, auxis rochei","Riboflavin","Children","5-9",580,58000
"Auxis thazard, auxis rochei","Vitamin C","Children","5-9",0,0
"Auxis thazard, auxis rochei","Zinc","Children","5-9",0.3,30
"Babylonia japonica, buccinum striatissimum, buccinum tsubai","Calcium","Children","5-9",0.055,5.5
"Babylonia japonica, buccinum striatissimum, buccinum tsubai","Copper","Children","5-9",0.264705882352941,26.4705882352941
"Babylonia japonica, buccinum striatissimum, buccinum tsubai","Magnesium","Children","5-9",0.763636363636364,76.3636363636364
"Babylonia japonica, buccinum striatissimum, buccinum tsubai","Phosphorus","Children","5-9",0.395061728395062,39.5061728395062
"Babylonia japonica, buccinum striatissimum, buccinum tsubai","Riboflavin","Children","5-9",280,28000
"Babylonia japonica, buccinum striatissimum, buccinum tsubai","Vitamin C","Children","5-9",0.0909090909090909,9.09090909090909
"Babylonia japonica, buccinum striatissimum, buccinum tsubai","Zinc","Children","5-9",0.325,32.5
"Bagrus bajad","Calcium","Children","5-9",0.06875,6.875
"Bagrus bajad","Copper","Children","5-9",0.205882352941176,20.5882352941176
"Bagrus bajad","Magnesium","Children","5-9",0.309090909090909,30.9090909090909
"Bagrus bajad","Phosphorus","Children","5-9",0.524691358024691,52.4691358024691
"Bagrus bajad","Riboflavin","Children","5-9",140,14000
"Bagrus bajad","Thiamin","Children","5-9",0.32,32
"Bagrus bajad","Vitamin C","Children","5-9",0,0
"Bagrus bajad","Zinc","Children","5-9",0.18625,18.625
"Bagrus bayad","Calcium","Children","5-9",0.024375,2.4375
"Bagrus bayad","Magnesium","Children","5-9",0.219090909090909,21.9090909090909
"Bagrus bayad","Phosphorus","Children","5-9",0.0592592592592593,5.92592592592593
"Balaena mysticetus","Calcium","Children","5-9",0.003125,0.3125
"Balaena mysticetus","Phosphorus","Children","5-9",0.214814814814815,21.4814814814815
"Balaena mysticetus","Riboflavin","Children","5-9",40,4000
"Balaena mysticetus","Thiamin","Children","5-9",0.16,16
"Barilius bendelisis","Calcium","Children","5-9",1.20625,120.625
"Barilius bendelisis","Zinc","Children","5-9",0.0875,8.75
"Batissa violacea","Calcium","Children","5-9",0.0025,0.25
"Batissa violacea","Magnesium","Children","5-9",0.118181818181818,11.8181818181818
"Batissa violacea","Riboflavin","Children","5-9",0,0
"Batissa violacea","Thiamin","Children","5-9",0,0
"Batissa violacea","Vitamin C","Children","5-9",0,0
"Batissa violacea","Zinc","Children","5-9",0.95,95
"Belone belone","Calcium","Children","5-9",0.09875,9.875
"Belone belone","Copper","Children","5-9",0.176470588235294,17.6470588235294
"Belone belone","Magnesium","Children","5-9",0.209090909090909,20.9090909090909
"Belone belone","Phosphorus","Children","5-9",0.525925925925926,52.5925925925926
"Belone belone","Riboflavin","Children","5-9",200,20000
"Belone belone","Thiamin","Children","5-9",0,0
"Belone belone","Vitamin C","Children","5-9",0,0
"Belone belone","Zinc","Children","5-9",0.675,67.5
"Beryx splendens","Calcium","Children","5-9",0.03875,3.875
"Beryx splendens","Copper","Children","5-9",0.0588235294117647,5.88235294117647
"Beryx splendens","Magnesium","Children","5-9",0.663636363636364,66.3636363636364
"Beryx splendens","Phosphorus","Children","5-9",1.20987654320988,120.987654320988
"Beryx splendens","Riboflavin","Children","5-9",100,10000
"Beryx splendens","Vitamin C","Children","5-9",0.0454545454545455,4.54545454545455
"Beryx splendens","Zinc","Children","5-9",0.075,7.5
"Bidyanus bidyanus","Calcium","Children","5-9",0.02375,2.375
"Bidyanus bidyanus","Copper","Children","5-9",0.0764705882352941,7.64705882352941
"Bidyanus bidyanus","Magnesium","Children","5-9",0.281818181818182,28.1818181818182
"Bidyanus bidyanus","Phosphorus","Children","5-9",0.864197530864197,86.4197530864197
"Bidyanus bidyanus","Riboflavin","Children","5-9",260,26000
"Bidyanus bidyanus","Vitamin C","Children","5-9",0,0
"Bidyanus bidyanus","Zinc","Children","5-9",0.215,21.5
"Birgus latro","Calcium","Children","5-9",0.24,24
"Birgus latro","Magnesium","Children","5-9",0.426545454545455,42.6545454545455
"Birgus latro","Riboflavin","Children","5-9",310,31000
"Birgus latro","Thiamin","Children","5-9",0.11,11
"Birgus latro","Vitamin C","Children","5-9",0.113636363636364,11.3636363636364
"Birgus latro","Zinc","Children","5-9",0.825,82.5
"Boops boops","Calcium","Children","5-9",0.08125,8.125
"Boops boops","Copper","Children","5-9",1.38970588235294,138.970588235294
"Boops boops","Magnesium","Children","5-9",0.2,20
"Boops boops","Zinc","Children","5-9",0.5,50
"Boops salpa","Calcium","Children","5-9",0.035,3.5
"Boops salpa","Copper","Children","5-9",1.76470588235294,176.470588235294
"Boops salpa","Magnesium","Children","5-9",0.263636363636364,26.3636363636364
"Boops salpa","Zinc","Children","5-9",0.825,82.5
"Bothidae, pleuronectidae","Calcium","Children","5-9",0.02625,2.625
"Bothidae, pleuronectidae","Copper","Children","5-9",0.0558823529411765,5.58823529411765
"Bothidae, pleuronectidae","Magnesium","Children","5-9",0.163636363636364,16.3636363636364
"Bothidae, pleuronectidae","Phosphorus","Children","5-9",0.622222222222222,62.2222222222222
"Bothidae, pleuronectidae","Thiamin","Children","5-9",0.044,4.4
"Bothidae, pleuronectidae","Zinc","Children","5-9",0.08,8
"Botia dario","Calcium","Children","5-9",1.625,162.5
"Botia dario","Copper","Children","5-9",0.276470588235294,27.6470588235294
"Botia dario","Magnesium","Children","5-9",0.409090909090909,40.9090909090909
"Botia dario","Phosphorus","Children","5-9",2.02469135802469,202.469135802469
"Botia dario","Zinc","Children","5-9",1,100
"Brama japonica","Calcium","Children","5-9",0.011,1.1
"Brama japonica","Copper","Children","5-9",0.0955882352941176,9.55882352941176
"Brama japonica","Magnesium","Children","5-9",0.260909090909091,26.0909090909091
"Brama japonica","Phosphorus","Children","5-9",0.53679012345679,53.679012345679
"Brama japonica","Zinc","Children","5-9",0.090875,9.0875
"Branchiostegus japonicus","Calcium","Children","5-9",0.07,7
"Branchiostegus japonicus","Copper","Children","5-9",0.0588235294117647,5.88235294117647
"Branchiostegus japonicus","Magnesium","Children","5-9",0.263636363636364,26.3636363636364
"Branchiostegus japonicus","Phosphorus","Children","5-9",0.506172839506173,50.6172839506173
"Branchiostegus japonicus","Riboflavin","Children","5-9",120,12000
"Branchiostegus japonicus","Thiamin","Children","5-9",0.08,8
"Branchiostegus japonicus","Vitamin C","Children","5-9",0.0227272727272727,2.27272727272727
"Branchiostegus japonicus","Zinc","Children","5-9",0.075,7.5
"Brosme brosme","Calcium","Children","5-9",0.0125,1.25
"Brosme brosme","Copper","Children","5-9",0.0529411764705882,5.29411764705882
"Brosme brosme","Magnesium","Children","5-9",0.281818181818182,28.1818181818182
"Brosme brosme","Phosphorus","Children","5-9",0.503703703703704,50.3703703703704
"Brosme brosme","Thiamin","Children","5-9",0.084,8.4
"Brosme brosme","Zinc","Children","5-9",0.095,9.5
"Bryconamericus iheringii","Zinc","Children","5-9",0.20225,20.225
"Caesio xanthonota","Calcium","Children","5-9",0.04,4
"Caesio xanthonota","Magnesium","Children","5-9",0.354545454545455,35.4545454545455
"Caesio xanthonota","Riboflavin","Children","5-9",320,32000
"Caesio xanthonota","Thiamin","Children","5-9",0.1,10
"Caesio xanthonota","Vitamin C","Children","5-9",0,0
"Caesio xanthonota","Zinc","Children","5-9",0.1,10
"Callinectes sapidus","Calcium","Children","5-9",0.115,11.5
"Callinectes sapidus","Copper","Children","5-9",1.97058823529412,197.058823529412
"Callinectes sapidus","Magnesium","Children","5-9",0.295454545454545,29.5454545454545
"Callinectes sapidus","Phosphorus","Children","5-9",0.558024691358025,55.8024691358025
"Callinectes sapidus","Riboflavin","Children","5-9",80,8000
"Callinectes sapidus","Thiamin","Children","5-9",0.16,16
"Callinectes sapidus","Vitamin C","Children","5-9",0.0431818181818182,4.31818181818182
"Callinectes sapidus","Zinc","Children","5-9",0.9425,94.25
"Cancer borealis","Calcium","Children","5-9",0.12,12
"Cancer borealis","Magnesium","Children","5-9",0.409090909090909,40.9090909090909
"Cancer borealis","Phosphorus","Children","5-9",0.296296296296296,29.6296296296296
"Cancer magister","Calcium","Children","5-9",0.06125,6.125
"Cancer magister","Copper","Children","5-9",2.07941176470588,207.941176470588
"Cancer magister","Magnesium","Children","5-9",0.409090909090909,40.9090909090909
"Cancer magister","Phosphorus","Children","5-9",0.449382716049383,44.9382716049383
"Cancer magister","Riboflavin","Children","5-9",340,34000
"Cancer magister","Thiamin","Children","5-9",0.1,10
"Cancer magister","Vitamin C","Children","5-9",0.154545454545455,15.4545454545455
"Cancer magister","Zinc","Children","5-9",1.0675,106.75
"Cancer pagurus","Calcium","Children","5-9",0.07,7
"Cancer pagurus","Copper","Children","5-9",2.35294117647059,235.294117647059
"Cancer pagurus","Magnesium","Children","5-9",0.372727272727273,37.2727272727273
"Cancer pagurus","Phosphorus","Children","5-9",0.482716049382716,48.2716049382716
"Cancer pagurus","Riboflavin","Children","5-9",220,22000
"Cancer pagurus","Thiamin","Children","5-9",0.1,10
"Cancer pagurus","Vitamin C","Children","5-9",0.0772727272727273,7.72727272727273
"Cancer pagurus","Zinc","Children","5-9",1.24125,124.125
"Cantharus lineatus","Calcium","Children","5-9",0.0475,4.75
"Cantharus lineatus","Copper","Children","5-9",3.82352941176471,382.352941176471
"Cantharus lineatus","Magnesium","Children","5-9",0.2,20
"Cantharus lineatus","Zinc","Children","5-9",0.5,50
"Caranx hippos","Zinc","Children","5-9",0.0415,4.15
"Carassius auratus","Calcium","Children","5-9",0.125,12.5
"Carassius auratus","Copper","Children","5-9",0.382352941176471,38.2352941176471
"Carassius auratus","Magnesium","Children","5-9",0.418181818181818,41.8181818181818
"Carassius auratus","Phosphorus","Children","5-9",0.501234567901235,50.1234567901235
"Carassius auratus","Riboflavin","Children","5-9",210,21000
"Carassius auratus","Thiamin","Children","5-9",0.1,10
"Carassius auratus","Vitamin C","Children","5-9",0.0454545454545455,4.54545454545455
"Carassius auratus","Zinc","Children","5-9",0.9875,98.75
"Carassius carassius","Calcium","Children","5-9",0.0725,7.25
"Carassius carassius","Copper","Children","5-9",0.25,25
"Carassius carassius","Magnesium","Children","5-9",0.495454545454545,49.5454545454545
"Carassius carassius","Phosphorus","Children","5-9",0.654320987654321,65.4320987654321
"Carassius carassius","Zinc","Children","5-9",0.1375,13.75
"Caridea, caprellida","Calcium","Children","5-9",0.07875,7.875
"Caridea, caprellida","Copper","Children","5-9",2.42941176470588,242.941176470588
"Caridea, caprellida","Magnesium","Children","5-9",0.509090909090909,50.9090909090909
"Caridea, caprellida","Phosphorus","Children","5-9",0.511111111111111,51.1111111111111
"Caridea, caprellida","Riboflavin","Children","5-9",60,6000
"Caridea, caprellida","Thiamin","Children","5-9",0.06,6
"Caridea, caprellida","Zinc","Children","5-9",0.40125,40.125
"Catla catla, cirrhinus cirrhosus, labeo rohita","Calcium","Children","5-9",0.050625,5.0625
"Catla catla, cirrhinus cirrhosus, labeo rohita","Copper","Children","5-9",0.0588235294117647,5.88235294117647
"Catla catla, cirrhinus cirrhosus, labeo rohita","Magnesium","Children","5-9",0.390909090909091,39.0909090909091
"Catla catla, cirrhinus cirrhosus, labeo rohita","Phosphorus","Children","5-9",0.432098765432099,43.2098765432099
"Catla catla, cirrhinus cirrhosus, labeo rohita","Riboflavin","Children","5-9",190,19000
"Catla catla, cirrhinus cirrhosus, labeo rohita","Thiamin","Children","5-9",0.15,15
"Catla catla, cirrhinus cirrhosus, labeo rohita","Zinc","Children","5-9",0.0675,6.75
"Catostomus commersoni","Calcium","Children","5-9",0.0875,8.75
"Catostomus commersoni","Copper","Children","5-9",0.573529411764706,57.3529411764706
"Catostomus commersoni","Magnesium","Children","5-9",0.272727272727273,27.2727272727273
"Catostomus commersoni","Phosphorus","Children","5-9",0.518518518518518,51.8518518518519
"Catostomus commersoni","Thiamin","Children","5-9",0.02,2
"Catostomus commersoni","Zinc","Children","5-9",0.1875,18.75
"Catostomus commersonii","Calcium","Children","5-9",0.0875,8.75
"Catostomus commersonii","Copper","Children","5-9",0.573529411764706,57.3529411764706
"Catostomus commersonii","Magnesium","Children","5-9",0.272727272727273,27.2727272727273
"Catostomus commersonii","Phosphorus","Children","5-9",0.518518518518518,51.8518518518519
"Catostomus commersonii","Riboflavin","Children","5-9",340,34000
"Catostomus commersonii","Thiamin","Children","5-9",0,0
"Catostomus commersonii","Zinc","Children","5-9",0.1875,18.75
